trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,5,-183.6137886439956,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-155.53607272817945,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-122.07266118684848,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,2,-159.37237241359045,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-187.36000162562516,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-105.8560414228661,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-132.436367945369,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-89.45418956369541,"{0: 28, 1: 3, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-42.01614937391923,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-53.60317104292954,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-57.348805158714015,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-49.761826055763535,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-311.7060091506338,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 7}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,-24.693531056547652,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,-6.6641295645013985,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-43.24597307403573,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-41.31028403380432,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-71.00019438786893,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-9.96069257152093,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,-10.892708634149674,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-54.75002076631654,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,5,-114.37375811345086,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",20,0,12.659445880981739,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,7,-36.821717601354024,"{0: 15, 1: 0, 2: 0, 3: 3, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,17,-12.192466436926404,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,5,-24.72827348085623,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,6,6.618656782328105,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,8,9.258902302829915,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-82.59292216422656,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,16,-62.20200488419253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
