trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.04377863675283,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9925280548191384}",25,0,-128.7156750162462,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",35,17,-48.40854939737945,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9777512371933363}",30,0,-216.544763592278,"{0: 12, 1: 9, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-112.2908723084633,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9631944177208218}",30,0,-115.85519827625023,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-112.85239831226794,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9488543210558013}",20,0,-51.4421786554011,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-108.6865057910618,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9347277206160275}",25,0,-81.62986015892608,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9277434863285529}",30,0,-86.37657080470518,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9208114378568045}",20,0,-29.010522282197666,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-68.2691752739093,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9071023415558017}",25,0,-149.68223975608763,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9003245225862656}",35,11,-124.7310852413528,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.8935973471085157}",30,0,-165.7384939842795,"{0: 18, 1: 4, 2: 3, 3: 3, 4: 2}",0
