trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.25880479809714,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.64672153322525,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-89.84325903160818,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-309.4684922995966,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.25085731227583,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.44018108030855,"{0: 7, 1: 4, 2: 5, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.15507061858982,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,12,-130.99649014958956,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.51160800149025,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.59369242429827,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.45471275969808,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.93559312149819,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.4858786936418,"{0: 12, 1: 1, 2: 7, 3: 4, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.82899977284873,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.51044234352264,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.19734516642202,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.53830185683848,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.04596628843075,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.02633489252166,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.2044635845011,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-74.64985460294034,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-200.64144019095778,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",35,0,-187.757923031118,"{0: 20, 1: 4, 2: 7, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-56.33772961023469,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-48.21738086093794,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-150.33883046459675,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-69.04523557532666,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-198.07804262592023,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-130.85176224372168,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,4,-128.97278509798932,"{0: 8, 1: 2, 2: 1, 3: 4, 4: 1}",1
